Time,chan_0_dbm,chan_1_dbm,chan_2_dbm,chan_3_dbm,chan_4_dbm,chan_0_snr_db,chan_0_occupied,chan_1_snr_db,chan_1_occupied,chan_2_snr_db,chan_2_occupied,chan_3_snr_db,chan_3_occupied,chan_4_snr_db,chan_4_occupied,chan_0_rate_mbps,chan_1_rate_mbps,chan_2_rate_mbps,chan_3_rate_mbps,chan_4_rate_mbps
2020-06-13 10:13:47.000,-42.367503248472474,-42.16913531940844,-42.36316399470142,-42.15773405106645,-42.62729763140705,47.632496751527526,1,47.83086468059156,1,47.63683600529858,1,47.84226594893355,1,47.37270236859295,1,24.0,24.0,24.0,24.0,24.0
2020-06-13 10:13:47.500,-44.70587277134392,-45.10861490409191,-44.50890227103744,-42.31256042025295,-44.46696695572969,45.29412722865608,1,44.89138509590809,1,45.49109772896256,1,47.68743957974705,1,45.53303304427031,1,24.0,24.0,24.0,24.0,24.0
2020-06-13 10:13:48.000,-35.556428743439724,-36.3692999525346,-37.9931629319528,-37.7893368485354,-37.08463304175789,54.44357125656027,1,53.6307000474654,1,52.0068370680472,1,52.2106631514646,1,52.91536695824211,1,24.0,24.0,24.0,24.0,24.0
2020-06-13 10:13:48.500,-41.59908848495122,-41.582533117790355,-41.59863292320666,-41.57049187951163,-41.57969474586385,48.40091151504878,1,48.417466882209645,1,48.40136707679334,1,48.42950812048837,1,48.42030525413615,1,24.0,24.0,24.0,24.0,24.0
2020-06-13 10:13:49.000,-54.461634785139594,-54.10622285104044,-55.577459070159705,-56.291257873514866,-57.19788193191068,35.538365214860406,1,35.89377714895956,1,34.422540929840295,1,33.708742126485134,1,32.80211806808932,1,24.0,24.0,24.0,24.0,24.0
2020-06-13 10:13:49.500,-48.59791346524141,-49.28514261209056,-47.91729101672847,-45.70340754625148,-44.229803575612074,41.40208653475859,1,40.71485738790944,1,42.08270898327153,1,44.29659245374852,1,45.770196424387926,1,24.0,24.0,24.0,24.0,24.0
2020-06-13 10:13:50.000,-27.598017617181753,-31.977387501852988,-43.50197786134906,-32.63810036461888,-27.83411695484541,62.40198238281825,1,58.02261249814701,1,46.49802213865094,1,57.36189963538112,1,62.165883045154594,1,24.0,24.0,24.0,24.0,24.0
2020-06-13 10:13:50.500,-57.26821186043087,-57.42090685371035,-55.85093064236765,-56.16128663032646,-52.710229919601794,32.73178813956913,1,32.579093146289644,1,34.14906935763235,1,33.83871336967354,1,37.289770080398206,1,24.0,24.0,24.0,24.0,24.0
2020-06-13 10:13:51.000,,,,,,,0,,0,,0,,0,,0,,,,,
2020-06-13 10:13:51.500,-38.896989533749895,-37.47493711139846,-38.16487116667944,-37.18836721150375,-42.4232628338539,51.103010466250105,1,52.52506288860154,1,51.83512883332056,1,52.81163278849625,1,47.5767371661461,1,24.0,24.0,24.0,24.0,24.0
2020-06-13 10:13:52.000,-48.24479213132297,-46.22190036096843,-43.9890712510195,-46.54084148317481,-48.66693255100095,41.75520786867703,1,43.77809963903157,1,46.0109287489805,1,43.45915851682519,1,41.33306744899905,1,24.0,24.0,24.0,24.0,24.0
2020-06-13 10:13:52.500,-17.496380724855797,-25.820539026539628,-36.11914444824055,-90.0,-17.10563309401961,72.5036192751442,1,64.17946097346038,1,53.88085555175945,1,0.0,0,72.89436690598039,1,24.0,24.0,24.0,0.25,24.0
2020-06-13 10:13:53.000,-34.318905104235185,-33.421590820425855,-33.46916970005066,-34.63763309403967,-33.53555627073738,55.681094895764815,1,56.578409179574145,1,56.53083029994934,1,55.36236690596033,1,56.46444372926262,1,24.0,24.0,24.0,24.0,24.0
2020-06-13 10:13:53.500,-54.68673173480014,-54.72984203419196,-54.72118716742999,-54.73168604164407,-54.683341958508365,35.31326826519986,1,35.27015796580804,1,35.27881283257001,1,35.26831395835593,1,35.316658041491635,1,24.0,24.0,24.0,24.0,24.0
2020-06-13 10:13:54.000,-30.407843794140852,-56.066797244788795,-57.65507408444105,-30.225059783845513,-32.640228929738385,59.59215620585915,1,33.933202755211205,1,32.34492591555895,1,59.77494021615449,1,57.359771070261615,1,24.0,24.0,24.0,24.0,24.0
2020-06-13 10:13:54.500,-49.43367348285038,-49.60585880823863,-49.57847242780106,-49.568249178791405,-49.571652731785136,40.56632651714962,1,40.39414119176137,1,40.42152757219894,1,40.431750821208595,1,40.428347268214864,1,24.0,24.0,24.0,24.0,24.0
2020-06-13 10:13:55.000,-90.0,-84.70960946014844,-90.0,-69.2836342614596,-90.0,0.0,0,5.290390539851558,0,0.0,0,20.716365738540404,1,0.0,0,0.25,1.0,0.25,24.0,0.25
2020-06-13 10:13:55.500,,,,,,,0,,0,,0,,0,,0,,,,,
2020-06-13 10:13:56.000,-38.82617634511192,-43.94386190785696,-41.86803485229592,-43.62180719325923,-36.67509472228481,51.17382365488808,1,46.05613809214304,1,48.13196514770408,1,46.37819280674077,1,53.32490527771519,1,24.0,24.0,24.0,24.0,24.0
2020-06-13 10:13:56.500,-30.739394314784025,-31.416633540302783,-31.070100283669543,-30.66500660634584,-26.46337051249668,59.26060568521598,1,58.58336645969722,1,58.92989971633045,1,59.33499339365416,1,63.53662948750332,1,24.0,24.0,24.0,24.0,24.0
2020-06-13 10:13:57.000,,,,,,,0,,0,,0,,0,,0,,,,,
2020-06-13 10:13:57.500,-33.743320920457926,-32.85216320825791,-33.260230832671155,-32.66121857384248,-32.60551947657944,56.256679079542074,1,57.14783679174209,1,56.739769167328845,1,57.33878142615752,1,57.39448052342056,1,24.0,24.0,24.0,24.0,24.0
2020-06-13 10:13:58.000,-48.53692596384826,-51.05587666714761,-47.06924859877137,-49.669938888145495,-48.946397983782646,41.46307403615174,1,38.94412333285239,1,42.93075140122863,1,40.330061111854505,1,41.053602016217354,1,24.0,24.0,24.0,24.0,24.0
2020-06-13 10:13:58.500,-54.852309507836374,-54.85736937275771,-54.82128507697705,-54.88275750391985,-54.83577498972206,35.147690492163626,1,35.14263062724229,1,35.17871492302295,1,35.11724249608015,1,35.16422501027794,1,24.0,24.0,24.0,24.0,24.0
2020-06-13 10:13:59.000,-22.227112371137288,-37.1444054792087,-90.0,-27.557815668295603,-17.454931650528586,67.77288762886272,1,52.8555945207913,1,0.0,0,62.4421843317044,1,72.54506834947142,1,24.0,24.0,0.25,24.0,24.0
2020-06-13 10:13:59.500,,,,,,,0,,0,,0,,0,,0,,,,,
2020-06-13 10:14:00.000,-49.460987691244675,-49.488474775526186,-49.46453112417767,-49.47104610041694,-49.465467608239315,40.539012308755325,1,40.511525224473814,1,40.53546887582233,1,40.52895389958306,1,40.534532391760685,1,24.0,24.0,24.0,24.0,24.0
2020-06-13 10:14:00.500,-41.83445445308593,-44.7867663940212,-44.72278767648281,-44.5996951472868,-42.05234221554923,48.16554554691407,1,45.2132336059788,1,45.27721232351719,1,45.4003048527132,1,47.94765778445077,1,24.0,24.0,24.0,24.0,24.0
2020-06-13 10:14:01.000,-50.15310807389006,-51.02729076716031,-48.90492240461548,-50.18356103238395,-50.51848347966349,39.84689192610994,1,38.97270923283969,1,41.09507759538452,1,39.81643896761605,1,39.48151652033651,1,24.0,24.0,24.0,24.0,24.0
